RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,"My goal for attending this session: - Open-Ended Response","On this topic, I consider myself:","In regards to this session, the content presented: - Is USEFUL to me","In regards to this session, the content presented: - Is APPLICABLE to my job","In regards to this session, the content presented: - Has CHANGED my thinking","In regards to this session, the content presented: - Has REINFORCED my thinking","List at least one thing you learned today that you will use in your classroom or program: - Open-Ended Response","Concerning the content of the session, how much of the following has increased? - KNOWLEDGE of content presented","Concerning the content of the session, how much of the following has increased? - CONFIDENCE that you can apply the knowledge in your job","Concerning the content of the session, how much of the following has increased? - MOTIVATION to implement the content/techniques presented","What is your current: - LEVEL OF UNDERSTANDING for the concepts of quantity relationships?","What is your current: - ABILITY to recognize quantity relationships in students’ thinking?","What is your current: - ABILITY to respond to the student needs identified in quantity relationships?","Awareness of Cognitive Domains - To what degree did an awareness of cognitive domains support your capacity to recognize and respond to your students’ mathematical thinking?","Describe how an awareness of cognitive domains supported your capacity to recognize and respond to your students’ mathematical thinking? - Open-Ended Response","Describe one aspect of the RMS that has been particularly relevant for your own learning and teaching in mathematics. - Open-Ended Response"
5340274306,96965881,04/26/2017 18:54:41,04/26/2017 18:59:10,"204.101.16.213","","","","","To strengthen my understanding of math - the teaching and learning for both myself and my students","Skilled/Knowledgeable","4","4","4","4","From Patterning and Algebra resource and using the pentominoes for geometry","3","3","4","3","3","3","3",,"Collaborating with other teachers, coaches, and Ministry leads to develop lessons to address quantity relationships and being able to look at the misconceptions and where students are on the continuum"
5340274222,96965881,04/26/2017 18:55:00,04/26/2017 18:59:05,"64.201.57.98","","","","","understand quantity and activities to support my learners","Skilled/Knowledgeable","4","5 - Significantly","3","4","pentomino activity","4","4","4","4","3","3","3",,"using manipulatives"
5340273915,96965881,04/26/2017 18:53:19,04/26/2017 18:58:53,"184.151.36.28","","","","","Use application strategies to teach where students are at ","Skilled/Knowledgeable","2","2","2","2","I like reviewing the major themes and terms that are fundamental in teaching mathematics (I. E,  part part whole,  anchors, etc.","2","2","2","4","4","4","4",,"....reviewing concepts but overall I think the money can be better spent on multi level resources. I did not enjoy the workshops. I did like the team teaching part of the CLi-m session and networking with other schools to find out what they are doing in their classrooms "
5340273122,96965881,04/26/2017 18:55:31,04/26/2017 18:58:15,"184.151.37.243","","","","","To expand my teaching practice in alignment with the Ontario provincial government new math initiative. ","Novice","4","5 - Significantly","4","4","The use of coloured tiles to reinforce algebraic concepts ","4","4","4","3","3","3","3",,"Planning quantity relationships throughout the strands "
5340272566,96965881,04/26/2017 18:54:04,04/26/2017 18:57:49,"184.151.36.160","","","","","Sharing and listening to other successes and struggles.","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","4","4","Some of the games such as bucket measuring.","3","4","4","4","4","4","3",,"Time to work with colleagues from other schools. Shared classroom experiences."
5340272201,96965881,04/26/2017 18:53:31,04/26/2017 18:57:30,"209.171.88.74","","","","","To understand how quantity relationships fits within all of the math strands. ","Novice","5 - Significantly","5 - Significantly","5 - Significantly","4","Using manipulatives on a consistent basis really does help students visualize numbers and pattern. ","4","4","5 - Significantly","4","3","3","4","NA","Use of manipulatives ourselves in solving problems. "
5340271350,96965881,04/26/2017 18:54:16,04/26/2017 18:56:49,"204.101.16.213","","","","","Develop practical strategies for students to understand numbers and relationships.","Skilled/Knowledgeable","4","4","4","5 - Significantly","Use of pentominoes","4","4","4","4","4","4","4",,"Number talks"
5340271000,96965881,04/26/2017 18:53:18,04/26/2017 18:56:33,"64.201.57.98","","","","","To gain a better understanding of how to differentiate math instruction.","Novice","5 - Significantly","5 - Significantly","5 - Significantly","3","The importance of professional collaboration to extend thinking amongst peers.","5 - Significantly","4","5 - Significantly","3","3","3","4",,"Part Part Whole decomposition of numbers."
5340270730,96965881,04/26/2017 18:53:33,04/26/2017 18:56:20,"64.201.57.98","","","","","Consolidate understandings from previous sessions ","Skilled/Knowledgeable","3","3","4","4",,"4","4","4","4","4","4","4",,
5340269794,96965881,04/26/2017 18:54:20,04/26/2017 18:55:35,"184.151.37.120","","","","","Consolidation of learning about quantity","Skilled/Knowledgeable","3","5 - Significantly","3","3",,"3","4","3","3","3","3","2",,
5333080035,96965881,04/19/2017 18:56:02,04/19/2017 19:03:39,"204.101.16.213","","","","","Discovering new concrete ways to build an understanding of quantity in my classroom.","Skilled/Knowledgeable","4","5 - Significantly","3","4","Number talks.","2","2","3","4","4","3","3",,"How to use the manipulatives in many different ways.  Helps to build flexibility and find connections. "
5333079465,96965881,04/19/2017 18:55:54,04/19/2017 19:03:13,"204.101.16.213","","","","","To learn more about my students' conceptual understanding as well as my own.","Novice","5 - Significantly","5 - Significantly","5 - Significantly","5 - Significantly","I learned how to bridge the number sense with different strands in the math curriculum.","5 - Significantly","4","5 - Significantly","5 - A Great Deal","4","4","5 - A Great Deal","It gave me the opportunity to assess the students where they are at and support their learning in the continuum.","Using the manipulatives strategically and at appropriate time to deepen students' understanding."
5333078763,96965881,04/19/2017 18:59:38,04/19/2017 19:02:42,"184.151.36.191","","","","","Learn how to connect strands and address misconceptions my students may have","Novice","4","3","3","3","I will use the diagnostic map to help inform me of where my students are in their understanding of quantity","3","4","4","3","3","3","4",,"The diagnostic map"
5333078007,96965881,04/19/2017 18:55:31,04/19/2017 19:02:08,"24.114.78.18","","","","","To deepen my understanding of my students mathematical thinking and where they fall on the continuum.","Skilled/Knowledgeable","4","5 - Significantly","3","3","Various math questions to generate student thinking.","4","4","4","4","4","4","2","I was ill.","How to develop my understanding of quantity and how to recognize student understanding of math and how to support the child depending on the phase of development they are at."
5333077915,96965881,04/19/2017 18:54:23,04/19/2017 19:02:04,"204.101.16.213","","","","","How to respond to student thinking, planning next instructional steps, developing my own understanding of curriculum and developmental continuum of quantity relationships.","Skilled/Knowledgeable","3","5 - Significantly","2","4","multiple and varied opportunities to explore ideas and concepts (i.e. quantity relationships exist in all strands)","4","4","4","4","4","4","3","helps determine next steps for instruction, where and how to lead the student towards new learning","Creating a mathematical community of thinkers. Flexible thinking, through number/math talks, open-ended questions."
5333077571,96965881,04/19/2017 18:55:36,04/19/2017 19:01:48,"64.201.57.98","","","","","Extend my Understanding of the math continuum","Novice","4","4","2","4","Assessment practices in relation to referencing the continuum to support purposeful teaching and planning.","4","4","4","3","4","4","4","Purposeful planning and honouring where students are and where they need to go.","Use of manipulatives and resources to further my understanding of quantity relationships and address student misconceptions."
5333077245,96965881,04/19/2017 18:55:38,04/19/2017 19:01:34,"204.101.16.213","","","","","Developing a deeper understanding of teaching math & students' developmental stages in math.","Novice","5 - Significantly","5 - Significantly","5 - Significantly","3","Many examples of tasks related to patterning & algebra teaching/learning.","4","5 - Significantly","5 - Significantly","4","4","3","2","Needs further consideration on my part.","Continuum of developing an understanding of quantity."
5333075732,96965881,04/19/2017 18:55:35,04/19/2017 19:00:23,"64.201.57.98","","","","","To increase my conceptual understand g of math.  ","Novice","4","4","4","4","The importance of algebraic reasoning","4","4","5 - Significantly","5 - A Great Deal","4","4","4",,"I have enjoyed the math content and collaboration with other teachers.  "
5333075386,96965881,04/19/2017 18:55:08,04/19/2017 19:00:06,"64.201.57.98","","","","","To further my learning about the renewed math strategy.","Skilled/Knowledgeable","4","4","4","4","The algebraic thinking model and how to present it to my students so they can reflect and understand.","3","3","2","4","3","3","3","Understanding the continuum of learning and understanding deepened my understanding of my intention when teaching.","Reflecting and moving forward with the use of the tasks presented today. I can see how I can manipulate them to meet my students and extend them. For example, the pentominos activity. "
5333075145,96965881,04/19/2017 18:55:41,04/19/2017 18:59:54,"64.201.57.98","","","","","To help support the teaching and learning of mathematics for all students.","Skilled/Knowledgeable","4","5 - Significantly","4","4","the use of pentominoes.","4","5 - Significantly","4","4","4","4","4","Trusting students have abilities to show their thinking in many different ways.","It has all been helpful."
5333074838,96965881,04/19/2017 18:53:37,04/19/2017 18:59:41,"204.101.16.213","","","","","To find out more about better teaching my students math concepts.","Skilled/Knowledgeable","4","4","3","4","more strategies for teaching patterning & algebra, measurement, geometry, fractions (from sharing with another school)","4","4","4","4","3","3","4","The ideas that cardinality - being able to count a set, does not automatically lead to the idea of number of items or quantity!","I love being able to share ideas and strategies with teachers from other schools."
5333073241,96965881,04/19/2017 18:54:47,04/19/2017 18:58:26,"204.101.16.213","","","","","gather a better understanding of applying the concept of quantity in the classroom more in depth.","Novice","4","5 - Significantly","3","3","the master of architecture game - using it tomorrow! :)","2","4","4","3","3","2","3","allowed me to think outside of the box when observing my students. that there isnt always a ""right or wrong"" answer, but rather the processes involved in students' thinking is the most important here.","the resources provided, the comfort in knowing I can take the risk as a teacher to move backwards on the continuum in order to move forward with my students. "
5333072880,96965881,04/19/2017 18:56:50,04/19/2017 18:58:11,"64.201.57.98","","","","","Gain a deeper understanding of quantity relationships.","Novice","2","4","4","4","The importance of understanding numbers ","4","4","4","3","3","3","3",,
5333072781,96965881,04/19/2017 18:54:44,04/19/2017 18:58:06,"204.101.16.213","","","","",,"Skilled/Knowledgeable","5 - Significantly","5 - Significantly","4","4","I love the white board / platic plate method for the students to show their thinking quickly","4","4","4","4","4","4","4","so good to see it in a continuum.","the manipulatives"
5333072719,96965881,04/19/2017 18:54:21,04/19/2017 18:58:03,"204.101.16.213","","","","","To enhance my teaching of mathematics","Novice","4","2","4","3","Using quantity relationships in other strands.","3","3","3","3","2","2","4",,
5333072171,96965881,04/19/2017 18:55:26,04/19/2017 18:57:40,"204.101.16.213","","","","","To learn more about using manipulatives in my classroom.","Novice","3","4","3","3","I liked the use of manipulatives.","4","3","3","4","4","3","3",,
5333072058,96965881,04/19/2017 18:55:12,04/19/2017 18:57:35,"64.201.57.98","","","","","Get better at teaching math ","Expert","3","2","3","4","Pentomino game ","3","3","3","3","3","3","3","I don't get it ","Collaboration "
5333072034,96965881,04/19/2017 18:54:41,04/19/2017 18:57:34,"64.201.57.98","","","","","Enhance my teaching of mathematics.","Skilled/Knowledgeable","3","5 - Significantly","5 - Significantly","3","The input/output robot.","4","4","4","3","4","4","4","The development of student understanding in math.","Different open ended activities."
5333072015,96965881,04/19/2017 18:54:51,04/19/2017 18:57:34,"204.101.16.213","","","","","Was to learn new math strategies and activities to bring back to my classroom. ","Skilled/Knowledgeable","3","3","3","4","using pentonomoes ","4","4","4","3","3","3","3",,"use of number talks and challenging students to try different strategies to solve problems"
5333071992,96965881,04/19/2017 18:54:33,04/19/2017 18:57:32,"204.101.16.213","","","","","To develop better understanding of my students process in thinking","Expert","3","5 - Significantly","4","4","I will be bringing the quantity relationship ideas from Van De Walle and Jo Boler. Using the resources to the fullest.","3","4","5 - Significantly","3","4","4","5 - A Great Deal","N/A","Subitizing is the area that has been a focus of mine. I have noticed that students struggle with identifying numbers on sight. "
5333071072,96965881,04/19/2017 18:54:18,04/19/2017 18:56:53,"204.101.16.213","","","","","Bring back knowledge to my staff","Skilled/Knowledgeable","3","3","3","3","Resources to use","2","3","3","3","3","3","2",,"Networking and sharing with other teachers in similar and different school environments."
5333070647,96965881,04/19/2017 18:55:17,04/19/2017 18:56:35,"184.151.36.177","","","","","Come in and obtain some learning ","Novice","4","4","4","4","Resources and materials ","3","4","4","4","4","4","4",,
5333070354,96965881,04/19/2017 18:54:40,04/19/2017 18:56:22,"184.151.36.196","","","","","Strengthen my math program ","Novice","4","4","3","4","Continuuum of development ","4","4","4","4","4","4","4","Knowing where they are helps to move them to the next step and knowing what that next step is ","Books and resources "
5319970196,96965881,04/06/2017 18:41:55,04/06/2017 18:50:54,"64.201.57.98","","","","","Build my capacity as a teacher of math by deepening my understanding of Quantity Relationships in order to recognize, respond, and develop this thinking in my students.","Novice","4","5 - Significantly","5 - Significantly","4","Reflect on my intentions for tasks.  Continue to analyse student thinking.","4","4","5 - Significantly",,,,"3","I was more equipped to notice and name the learning....understandings/misconceptions.","Leaving with a stronger sense of key understandings and tasks that support these concepts."
5319967832,96965881,04/06/2017 18:41:24,04/06/2017 18:49:22,"184.151.37.86","","","","","Take back to the class practical ideas for math, more specifically quantity. ","Skilled/Knowledgeable","4","5 - Significantly","5 - Significantly","4","Ideas of How to use the manipulatives and resources in our classroom math carts for small group learning and how to connect it to the bookmark concepts of quantity. ","5 - Significantly","4","4","4","4","3","4","It allowed me to identify and label what they were doing and how to connect it to math concepts in the curriculum. Then it aids in next steps. ","The bookmark to summarize mathematical concepts. Loved the poster of key understandings of the concept of quantify. "
5319967173,96965881,04/06/2017 18:46:24,04/06/2017 18:48:57,"64.201.57.98","","","","","Reflecting on knowledge development and conversing with peers.","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","5 - Significantly","The pentominos!! so neat!","5 - Significantly","5 - Significantly","5 - Significantly","4","4","4","4","You need to understand where students are and what they know in order to teach them an move their learning forward. ","Exposure to other classrooms and other children to talk about the learning and experiance another perspective first hand. hands on activities are more engaging and authentic. "
5319965666,96965881,04/06/2017 18:44:16,04/06/2017 18:48:00,"184.151.36.232","","","","","Gain a better understanding on a clear goal/focus for teaching math to my kids: to not blindly follow the curriculum  Document","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","4","The terminology: myself and my students are using the bookmark concepts ","5 - Significantly","5 - Significantly","5 - Significantly","4","4","4","5 - A Great Deal","I'm using better questioning, naming their learning, I have a focus for them as they lead the math inquiry ","Honestly, all of it. The first and third session at JBLC were very relevant and engaging and encouraging "
5319965238,96965881,04/06/2017 18:41:29,04/06/2017 18:47:43,"209.171.88.127","","","","","To learn more about how to use quantity in the classroom within the other strands.","Skilled/Knowledgeable","4","4","4","4","New activities ","3","4","4","4","4","3","3",,"Being able to collaborate with colleagues and share information and activities. "
5319964840,96965881,04/06/2017 18:41:45,04/06/2017 18:47:28,"204.101.16.213","","","","","Deepen my understanding of quantity relationships so that I can better plan activities, identify weaknesses and respond.","Skilled/Knowledgeable","4","4","4","4","Ways to incorporate quantity relationships into other strands. Ie. the symmetry activity. ","4","5 - Significantly","5 - Significantly","4","3","3","4","Unsure still.","Noticing and naming the learning. "
5319964319,96965881,04/06/2017 18:43:52,04/06/2017 18:47:08,"64.201.57.98","","","","","To become a better math teacher ","Novice","3","3","3","3","The symmetry activity","3","3","3","3","3","2",,,
5319963867,96965881,04/06/2017 18:44:00,04/06/2017 18:46:50,"24.114.53.158","","","","","Deeper understanding of number sense","Novice","5 - Significantly","5 - Significantly","5 - Significantly","2","Various hands on activities","5 - Significantly","5 - Significantly","5 - Significantly","3","4","4","3",,"Breaking down number sense and activities that match each area"
5319963669,96965881,04/06/2017 18:44:47,04/06/2017 18:46:43,"204.101.16.213","","","","","stay awake","Skilled/Knowledgeable","2","2","2","3","dice game","1 - Not at All","1 - Not at All","2","3","3","3","1 - None","no idea?","sorry"
5319963054,96965881,04/06/2017 18:44:13,04/06/2017 18:46:21,"64.201.57.98","","","","",,"Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","5 - Significantly",,"4","5 - Significantly","5 - Significantly","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal",,
5319962544,96965881,04/06/2017 18:44:59,04/06/2017 18:46:02,"204.101.16.213","","","","",,"Expert","1 - Not at All","2","2","2",,"1 - Not at All","1 - Not at All","1 - Not at All","4","4","4","4",,
5319961595,96965881,04/06/2017 18:42:16,04/06/2017 18:45:25,"204.101.16.213","","","","","To have a better understanding of math language.","Novice","4","5 - Significantly","4","4","I will use some of the tasks presented today","3","3","4","3","3","3","3",,"I am new to the field.The information has increased my confidence in teaching math to my students"
5318430808,96965881,04/05/2017 18:51:26,04/05/2017 19:03:54,"204.101.16.213","","","","","Learn how to help improve my students' understanding of quantity","Skilled/Knowledgeable","4","4","4","4","Quantity shows up in other math strands. Will give Math talks a try. Found math strands in Kdgn document.","4","4","4",,,,"4","Try to support the variety of thought processes and ways of learning with a variety of activities and prompts appropriate to the student. ","Focusing on 5 and 10 and counting on from 5, vs having to go back and count from 1. "
5318427167,96965881,04/05/2017 18:52:58,04/05/2017 19:01:48,"184.151.37.193","","","","","To learn more about math language and how to use this in daily activities with kindergarten students.","Skilled/Knowledgeable","3","4","5 - Significantly","4","Quantity relationships is throughout all math strands","5 - Significantly","4","4","4","4","4","5 - A Great Deal","Developmental needs have a significant impact on student mathematical thinking in kindergarten. ","Learned a great deal when a group of colleagues did a math activity with all my students providing significant information about their learning "
5318420648,96965881,04/05/2017 18:52:02,04/05/2017 18:57:59,"64.201.57.98","","","","","learning math strategies for Kindergarten programming","Novice","3","3","3","3","Group tasks, pentominoes","3","2","4","3","3","3","3",,"tasks, classroom partnering, school partnering, task sharing, in school training and time to discuss"
5318417908,96965881,04/05/2017 18:50:33,04/05/2017 18:56:22,"64.201.57.98","","","","","To learn more regarding teaching quantity relationships","Skilled/Knowledgeable","4","5 - Significantly","4","4","Math talks  Giving less information to the students at first to bring out their ideas more.","4","4","4","3","4","3","3","By having a better understanding of the development of quantity.","more manipulatives usage"
5318417378,96965881,04/05/2017 18:51:36,04/05/2017 18:56:02,"64.201.57.98","","","","","Ideas to take back to my classroom ","Skilled/Knowledgeable","4","5 - Significantly","4","4","The equal sign means ""the same as"".   Going to provide more opportunities to discuss equations in a variety of sequences. ","4","4","5 - Significantly","4","4","4","4",,"Subitizing!!! "
5318417115,96965881,04/05/2017 18:50:23,04/05/2017 18:55:52,"64.201.57.98","","","","","Reignite my excitement for math, through demonstrations of practical ideas","Skilled/Knowledgeable","2","2","2","3","To measure something you must determine what attribute you are measuring and use a tool that has the same attribute.   Also, loved the symmetry game and will definitely play it with my class","2","2","4","4","3","1 - None","2","I don't even know what cognitive domains are","It is a nice chance to explore the curriculum document and interact with staff at your own school and others"
5318416676,96965881,04/05/2017 18:49:56,04/05/2017 18:55:36,"204.101.16.213","","","","","Learn some new practical mathematics activities for teaching.","Skilled/Knowledgeable","2","2","2","3","7Up card game from a colleague","2","2","2","4","5 - A Great Deal","5 - A Great Deal","3","Helps me remember to differentiate my teaching to suit the wide variety of students.","Some of the practical ideas...using 10 frames, rek reks, number talks, open ended questions to get at student thinking."
5318416601,96965881,04/05/2017 18:50:34,04/05/2017 18:55:34,"64.201.57.98","","","","","Build capacity about quantity","Skilled/Knowledgeable","2","2","1 - Not at All","3","symmetry ","4","4","4","4","4","4","4","using the continuum to plan for future learning and as diagnostic assessment","the bookmark with the quantity relationships on it."
5318415834,96965881,04/05/2017 18:51:10,04/05/2017 18:55:06,"204.101.16.213","","","","","Share CILM experiences with other schools. ","Skilled/Knowledgeable","2","2","2","2","Math Activities I can use in class. ",,,,"4","3","3","3",,"Math activities to use in class. "
5318415651,96965881,04/05/2017 18:51:22,04/05/2017 18:55:00,"24.114.66.188","","","","","Learn some fun activities ","Novice","2","2","2","2","A fun symmetry game ","2","2","2",,,,,,
5318415579,96965881,04/05/2017 18:52:00,04/05/2017 18:54:57,"64.201.57.98","","","","","To deepen my understanding and knowledge of math in the kindergarten classroom","Novice","3","3","3","3","The hands-on activities that we completed with our groups are great to carry back to the classroom. ","3","3","3","4","3","3","3",,
5318414922,96965881,04/05/2017 18:51:23,04/05/2017 18:54:34,"64.201.57.98","","","","","- find new fun ways to get the kids involved in math","Skilled/Knowledgeable","4","4","4","4","- new math games to reinforce subitizing and part, part whole","4","4","4","4","4","4","4",,"I'll focus more on quantity early in the year."
5318414743,96965881,04/05/2017 18:50:18,04/05/2017 18:54:27,"184.151.36.72","","","","","Find new strategies to teach quantity and mathematical concepts to kindergarten students ","Novice","2","2","2","2","Pentominoe activities to present to students ","2","2","2","4","3","3","4","We need to understand cognitive domains so we can meet the students at their level of understanding and readiness","Networking with grade partners and sharing ideas that work"
5318413762,96965881,04/05/2017 18:51:19,04/05/2017 18:53:52,"64.201.57.98","","","","","enhance and improve math instruction","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","5 - Significantly","I will use more variety in the way kids show and explore their learning.","5 - Significantly","5 - Significantly","5 - Significantly","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","The framework of the skills is guiding every strand and every lesson we approach.","All of it."
5318413505,96965881,04/05/2017 18:50:48,04/05/2017 18:53:43,"64.201.57.98","","","","","To learn how to better plan for student lessons in math to ensure a thorough understanding of their concepts of quantity","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","4","4","The symmetry game with the pentominos","4","5 - Significantly","5 - Significantly","4","4","4","4",,"The bookmark as a reference tool"
5318412830,96965881,04/05/2017 18:50:17,04/05/2017 18:53:20,"184.151.36.194","","","","","Continued education on rms","Skilled/Knowledgeable","4","5 - Significantly","4","4","Shared learning.  Use centres with all strands rather than just one.","4","4","4","4","4","4","4",,"Number talks"
5318412720,96965881,04/05/2017 18:49:43,04/05/2017 18:53:17,"204.101.16.213","","","","","To gain a better understanding of some strategies to implement in my teaching of mathematical concepts. ","Novice","4","5 - Significantly","4","4","The concept of the equal sign and that it means the same as rather than equating one answer ","4","3","3","3","3","3","3","I am able to place students on the continuum and decide what their next steps are for learning. ","Subitizing strategies have come in handy teaching number sense to my kindergartens "
5318412687,96965881,04/05/2017 18:51:06,04/05/2017 18:53:16,"64.201.57.98","","","","","expand my knowledge of math in kindergarten","Novice","4","5 - Significantly","4","4","math talks","4",,"4","3","3","3","4",,"math learning labels (ie. cardinalit and subitizing)"
5318411940,96965881,04/05/2017 18:51:46,04/05/2017 18:52:49,"204.101.16.213","","","","",,"Skilled/Knowledgeable","3","3","3","3",,"3","3","3","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal",,
5318411744,96965881,04/05/2017 18:51:10,04/05/2017 18:52:42,"24.114.79.196","","","","","Learn about more activities related to teaching students about quantify ","Skilled/Knowledgeable","4","4","4","4","Soecific examples related to the different concepts of quantity ","4","4","4","4","4","4","4",,
5318411509,96965881,04/05/2017 18:51:04,04/05/2017 18:52:34,"184.151.36.5","","","","","Improve my knowledge of teaching math","Novice","3","3","4","4","The various activities/game we tried together","3","3","4","3","2","2","3",,"The activities and games examples"
5306748656,96965881,03/28/2017 18:54:26,03/28/2017 19:02:20,"64.201.57.98","","","","","Learn more about quantity and what to bring to the staff ","Skilled/Knowledgeable","4","4","5 - Significantly","4","The notion of being very careful of the wording for tricks and rules that students deem as the be all and end all in math","3","3","4","4","3","2","1 - None","n/a","That there are so many different ways to represent thinking and we can keep moving student learning along a continuum. That and we have great resources in the school that we aren't using!"
